seed,r_requested,r_actual,n_low,epsilon,K1,K2_gap,cost,direct_cost,cost_over_direct,target_reached,hf_iterations_run,warm_gap,warm_distance,transfer_distance_bound,L1,L2,mu,R1,R2,Delta,K1_continuous,K1_selected,comparison_complete
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,31,14,15.550000000000001,40,0.38875000000000004,1,14,0.0013145458979001434,0.13030837832616113,0.85370098751489221,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,1
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,32,14,15.6,40,0.39000000000000001,1,14,0.0013190464280472547,0.13109128228574643,0.83060224975266972,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,1
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,33,14,15.65,40,0.39124999999999999,1,14,0.0013225921061232881,0.13129508096607431,0.80890343549118815,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,1
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,63,10,13.15,40,0.32874999999999999,1,10,0.0012777334313773814,0.11536188313392157,0.4782548372209921,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,1
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,64,10,13.199999999999999,40,0.32999999999999996,1,10,0.0012774170517209082,0.11514741339151945,0.4725718144382231,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,1
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,65,10,13.25,40,0.33124999999999999,1,10,0.0012770880090838821,0.11497536155382709,0.46706365389492394,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,1
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,128,10,16.399999999999999,40,0.40999999999999998,1,10,0.0012746063697707255,0.11456292760061552,0.29355659678099977,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,1
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,144,10,17.199999999999999,40,0.42999999999999999,1,10,0.0012742131732260686,0.11452774312518446,0.27366601704130827,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,1
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,145,10,17.25,40,0.43125000000000002,1,10,0.0012742332605935047,0.11452885328649073,0.27256860574532532,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,1
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,256,10,22.800000000000001,40,0.57000000000000006,1,10,0.001274483580314012,0.1145429477420913,0.2040489879523881,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,1
